,authors_institution,authors,policy_document_id,overton_url,policy_doc_title,policy_doc_description,published_date,policy_doc_area,policy_doc_source,citing_paper_text,citing_paper_doi,scholarly_titles
10,Deakin University,Yin Paradies,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
11,Australian National University,Sharon Friel,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,There are many factors across different sectors that contribute to inequities in obesity levels. This implies the need for action across different government departments and policy domains (hereafter referred to as whole of government multisectoral action). In this study we explored the public policy attention given to inequities in obesity using an Australian case study.,10.1186/s12939-019-0913-6,How does whole of government action address inequities in obesity? A case study from Australia
12,The Australian Prevention Partnership Centre,Paul Kelly,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,There are many factors across different sectors that contribute to inequities in obesity levels. This implies the need for action across different government departments and policy domains (hereafter referred to as whole of government multisectoral action). In this study we explored the public policy attention given to inequities in obesity using an Australian case study.,10.1186/s12939-019-0913-6,How does whole of government action address inequities in obesity? A case study from Australia
13,Australian National University,Ginny Sargent,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,There are many factors across different sectors that contribute to inequities in obesity levels. This implies the need for action across different government departments and policy domains (hereafter referred to as whole of government multisectoral action). In this study we explored the public policy attention given to inequities in obesity using an Australian case study.,10.1186/s12939-019-0913-6,How does whole of government action address inequities in obesity? A case study from Australia
14,Australian National University,Melanie Pescud,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,There are many factors across different sectors that contribute to inequities in obesity levels. This implies the need for action across different government departments and policy domains (hereafter referred to as whole of government multisectoral action). In this study we explored the public policy attention given to inequities in obesity using an Australian case study.,10.1186/s12939-019-0913-6,How does whole of government action address inequities in obesity? A case study from Australia
15,Ministry of Health,Roimata Timutimu,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Self-reported experience of racial discrimination has been linked to a range of health outcomes in various countries and for different ethnic groups. This study builds on previous work in New Zealand to further investigate the prevalence of self-reported experience of racial discrimination by ethnicity, changes over time and associations with multiple health measures. The study uses data from the 2002/03 (n=12,500) and 2006/07 (n=12,488) New Zealand Health Surveys, nationally representative population-based surveys of adults (15+ years). Reported experience of racial discrimination was measured in both surveys and covered 5 items: experience of an ethnically motivated physical or verbal attack; and unfair treatment because of ethnicity by a health professional, in work, or when gaining housing. Ethnicity was classified as Maori, Pacific, Asian or European. Health indicators included measures of: mental health (SF36 mental health scale, psychological distress, doctor diagnosed mental health condition); physical health (self-rated health, SF36 physical functioning scale, cardiovascular disease); and health risk (smoking, hazardous drinking, excess body fat). Logistic regression was used to examine changes in prevalence of reported experience of racial discrimination over time and associations with health. Reported experience of racial discrimination increased between 2002/03 (28.1% ever) and 2006/07 (35.0% ever) among Asian peoples but remained largely unchanged for other ethnic groupings (Maori 29.5%, Pacific 23.0%, European 13.5%). Experience of racial discrimination was associated with all negative health measures except excess body fat. Where there were significant associations, a dose-response relationship was also evident. We conclude that racial discrimination experienced across a range of settings has the potential to impact on a wide range of health outcomes and risk factors. While ongoing research is needed to understand the multifarious nature of racism and the pathways by which it leads to poor health, it is feasible to monitor experiences of racial discrimination in national surveys.",10.1016/j.socscimed.2011.11.004,The pervasive effects of racism: Experiences of racial discrimination in New Zealand over time and associations with multiple health domains
16,Ministry of Health,Joanna Minster,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Self-reported experience of racial discrimination has been linked to a range of health outcomes in various countries and for different ethnic groups. This study builds on previous work in New Zealand to further investigate the prevalence of self-reported experience of racial discrimination by ethnicity, changes over time and associations with multiple health measures. The study uses data from the 2002/03 (n=12,500) and 2006/07 (n=12,488) New Zealand Health Surveys, nationally representative population-based surveys of adults (15+ years). Reported experience of racial discrimination was measured in both surveys and covered 5 items: experience of an ethnically motivated physical or verbal attack; and unfair treatment because of ethnicity by a health professional, in work, or when gaining housing. Ethnicity was classified as Maori, Pacific, Asian or European. Health indicators included measures of: mental health (SF36 mental health scale, psychological distress, doctor diagnosed mental health condition); physical health (self-rated health, SF36 physical functioning scale, cardiovascular disease); and health risk (smoking, hazardous drinking, excess body fat). Logistic regression was used to examine changes in prevalence of reported experience of racial discrimination over time and associations with health. Reported experience of racial discrimination increased between 2002/03 (28.1% ever) and 2006/07 (35.0% ever) among Asian peoples but remained largely unchanged for other ethnic groupings (Maori 29.5%, Pacific 23.0%, European 13.5%). Experience of racial discrimination was associated with all negative health measures except excess body fat. Where there were significant associations, a dose-response relationship was also evident. We conclude that racial discrimination experienced across a range of settings has the potential to impact on a wide range of health outcomes and risk factors. While ongoing research is needed to understand the multifarious nature of racism and the pathways by which it leads to poor health, it is feasible to monitor experiences of racial discrimination in national surveys.",10.1016/j.socscimed.2011.11.004,The pervasive effects of racism: Experiences of racial discrimination in New Zealand over time and associations with multiple health domains
17,Ministry of Health,Natalie Talamaivao,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Self-reported experience of racial discrimination has been linked to a range of health outcomes in various countries and for different ethnic groups. This study builds on previous work in New Zealand to further investigate the prevalence of self-reported experience of racial discrimination by ethnicity, changes over time and associations with multiple health measures. The study uses data from the 2002/03 (n=12,500) and 2006/07 (n=12,488) New Zealand Health Surveys, nationally representative population-based surveys of adults (15+ years). Reported experience of racial discrimination was measured in both surveys and covered 5 items: experience of an ethnically motivated physical or verbal attack; and unfair treatment because of ethnicity by a health professional, in work, or when gaining housing. Ethnicity was classified as Maori, Pacific, Asian or European. Health indicators included measures of: mental health (SF36 mental health scale, psychological distress, doctor diagnosed mental health condition); physical health (self-rated health, SF36 physical functioning scale, cardiovascular disease); and health risk (smoking, hazardous drinking, excess body fat). Logistic regression was used to examine changes in prevalence of reported experience of racial discrimination over time and associations with health. Reported experience of racial discrimination increased between 2002/03 (28.1% ever) and 2006/07 (35.0% ever) among Asian peoples but remained largely unchanged for other ethnic groupings (Maori 29.5%, Pacific 23.0%, European 13.5%). Experience of racial discrimination was associated with all negative health measures except excess body fat. Where there were significant associations, a dose-response relationship was also evident. We conclude that racial discrimination experienced across a range of settings has the potential to impact on a wide range of health outcomes and risk factors. While ongoing research is needed to understand the multifarious nature of racism and the pathways by which it leads to poor health, it is feasible to monitor experiences of racial discrimination in national surveys.",10.1016/j.socscimed.2011.11.004,The pervasive effects of racism: Experiences of racial discrimination in New Zealand over time and associations with multiple health domains
18,Ministry of Health,Li-Chia Yeh,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Self-reported experience of racial discrimination has been linked to a range of health outcomes in various countries and for different ethnic groups. This study builds on previous work in New Zealand to further investigate the prevalence of self-reported experience of racial discrimination by ethnicity, changes over time and associations with multiple health measures. The study uses data from the 2002/03 (n=12,500) and 2006/07 (n=12,488) New Zealand Health Surveys, nationally representative population-based surveys of adults (15+ years). Reported experience of racial discrimination was measured in both surveys and covered 5 items: experience of an ethnically motivated physical or verbal attack; and unfair treatment because of ethnicity by a health professional, in work, or when gaining housing. Ethnicity was classified as Maori, Pacific, Asian or European. Health indicators included measures of: mental health (SF36 mental health scale, psychological distress, doctor diagnosed mental health condition); physical health (self-rated health, SF36 physical functioning scale, cardiovascular disease); and health risk (smoking, hazardous drinking, excess body fat). Logistic regression was used to examine changes in prevalence of reported experience of racial discrimination over time and associations with health. Reported experience of racial discrimination increased between 2002/03 (28.1% ever) and 2006/07 (35.0% ever) among Asian peoples but remained largely unchanged for other ethnic groupings (Maori 29.5%, Pacific 23.0%, European 13.5%). Experience of racial discrimination was associated with all negative health measures except excess body fat. Where there were significant associations, a dose-response relationship was also evident. We conclude that racial discrimination experienced across a range of settings has the potential to impact on a wide range of health outcomes and risk factors. While ongoing research is needed to understand the multifarious nature of racism and the pathways by which it leads to poor health, it is feasible to monitor experiences of racial discrimination in national surveys.",10.1016/j.socscimed.2011.11.004,The pervasive effects of racism: Experiences of racial discrimination in New Zealand over time and associations with multiple health domains
19,Ministry of Health,Martin Tobias,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Self-reported experience of racial discrimination has been linked to a range of health outcomes in various countries and for different ethnic groups. This study builds on previous work in New Zealand to further investigate the prevalence of self-reported experience of racial discrimination by ethnicity, changes over time and associations with multiple health measures. The study uses data from the 2002/03 (n=12,500) and 2006/07 (n=12,488) New Zealand Health Surveys, nationally representative population-based surveys of adults (15+ years). Reported experience of racial discrimination was measured in both surveys and covered 5 items: experience of an ethnically motivated physical or verbal attack; and unfair treatment because of ethnicity by a health professional, in work, or when gaining housing. Ethnicity was classified as Maori, Pacific, Asian or European. Health indicators included measures of: mental health (SF36 mental health scale, psychological distress, doctor diagnosed mental health condition); physical health (self-rated health, SF36 physical functioning scale, cardiovascular disease); and health risk (smoking, hazardous drinking, excess body fat). Logistic regression was used to examine changes in prevalence of reported experience of racial discrimination over time and associations with health. Reported experience of racial discrimination increased between 2002/03 (28.1% ever) and 2006/07 (35.0% ever) among Asian peoples but remained largely unchanged for other ethnic groupings (Maori 29.5%, Pacific 23.0%, European 13.5%). Experience of racial discrimination was associated with all negative health measures except excess body fat. Where there were significant associations, a dose-response relationship was also evident. We conclude that racial discrimination experienced across a range of settings has the potential to impact on a wide range of health outcomes and risk factors. While ongoing research is needed to understand the multifarious nature of racism and the pathways by which it leads to poor health, it is feasible to monitor experiences of racial discrimination in national surveys.",10.1016/j.socscimed.2011.11.004,The pervasive effects of racism: Experiences of racial discrimination in New Zealand over time and associations with multiple health domains
20,University of Otago,Donna Cormack,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Self-reported experience of racial discrimination has been linked to a range of health outcomes in various countries and for different ethnic groups. This study builds on previous work in New Zealand to further investigate the prevalence of self-reported experience of racial discrimination by ethnicity, changes over time and associations with multiple health measures. The study uses data from the 2002/03 (n=12,500) and 2006/07 (n=12,488) New Zealand Health Surveys, nationally representative population-based surveys of adults (15+ years). Reported experience of racial discrimination was measured in both surveys and covered 5 items: experience of an ethnically motivated physical or verbal attack; and unfair treatment because of ethnicity by a health professional, in work, or when gaining housing. Ethnicity was classified as Maori, Pacific, Asian or European. Health indicators included measures of: mental health (SF36 mental health scale, psychological distress, doctor diagnosed mental health condition); physical health (self-rated health, SF36 physical functioning scale, cardiovascular disease); and health risk (smoking, hazardous drinking, excess body fat). Logistic regression was used to examine changes in prevalence of reported experience of racial discrimination over time and associations with health. Reported experience of racial discrimination increased between 2002/03 (28.1% ever) and 2006/07 (35.0% ever) among Asian peoples but remained largely unchanged for other ethnic groupings (Maori 29.5%, Pacific 23.0%, European 13.5%). Experience of racial discrimination was associated with all negative health measures except excess body fat. Where there were significant associations, a dose-response relationship was also evident. We conclude that racial discrimination experienced across a range of settings has the potential to impact on a wide range of health outcomes and risk factors. While ongoing research is needed to understand the multifarious nature of racism and the pathways by which it leads to poor health, it is feasible to monitor experiences of racial discrimination in national surveys.",10.1016/j.socscimed.2011.11.004,The pervasive effects of racism: Experiences of racial discrimination in New Zealand over time and associations with multiple health domains
21,University of Otago,Ricci Harris,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Self-reported experience of racial discrimination has been linked to a range of health outcomes in various countries and for different ethnic groups. This study builds on previous work in New Zealand to further investigate the prevalence of self-reported experience of racial discrimination by ethnicity, changes over time and associations with multiple health measures. The study uses data from the 2002/03 (n=12,500) and 2006/07 (n=12,488) New Zealand Health Surveys, nationally representative population-based surveys of adults (15+ years). Reported experience of racial discrimination was measured in both surveys and covered 5 items: experience of an ethnically motivated physical or verbal attack; and unfair treatment because of ethnicity by a health professional, in work, or when gaining housing. Ethnicity was classified as Maori, Pacific, Asian or European. Health indicators included measures of: mental health (SF36 mental health scale, psychological distress, doctor diagnosed mental health condition); physical health (self-rated health, SF36 physical functioning scale, cardiovascular disease); and health risk (smoking, hazardous drinking, excess body fat). Logistic regression was used to examine changes in prevalence of reported experience of racial discrimination over time and associations with health. Reported experience of racial discrimination increased between 2002/03 (28.1% ever) and 2006/07 (35.0% ever) among Asian peoples but remained largely unchanged for other ethnic groupings (Maori 29.5%, Pacific 23.0%, European 13.5%). Experience of racial discrimination was associated with all negative health measures except excess body fat. Where there were significant associations, a dose-response relationship was also evident. We conclude that racial discrimination experienced across a range of settings has the potential to impact on a wide range of health outcomes and risk factors. While ongoing research is needed to understand the multifarious nature of racism and the pathways by which it leads to poor health, it is feasible to monitor experiences of racial discrimination in national surveys.",10.1016/j.socscimed.2011.11.004,The pervasive effects of racism: Experiences of racial discrimination in New Zealand over time and associations with multiple health domains
22,"University of Maryland, College Park",Sandra Crouse Quinn,treasurynz-bc13ae5f63cb982554314cd66475a593,http://app.overton.io/document.php?policy_document_id=treasurynz-bc13ae5f63cb982554314cd66475a593,He Kāhui Waiora: Living Standards Framework and He Ara Waiora COVID-19: Impacts on Wellbeing (DP 20/02),"The COVID‑19 pandemic is having major impacts on our lives in ways that go far beyond health, extending across all dimensions of wellbeing and all population groups.",2020-07-07,"['science and technology', 'education', 'labour', 'science and technology>social sciences', 'health', 'society', 'education>school']",New Zealand Treasury,"With the growing recognition of the critical role that risk communication plays in a public health emergency, a number of articles have provided prescriptive best practices to enhance such communication. However, little empirical research has examined perceptions of the quality of communication, the impact of uncertainty on changing communication, use of information sources, and trust in specific government spokespersons. Similarly, although there is significant conceptual focus on trust and communication as important in vaccination intent and acceptance, little research has explored these relationships empirically. We conducted an online survey in late January 2010 with a nationally representative sample (N=2,079) that included Hispanic and African American oversamples. The completion rate was 56%. We found that public health officials were the most trusted spokespersons, with President Obama being the most highly trusted elected official. Demographic variables, including race, accounted for 21% of the variance in trust of the president. Perceptions of the quality of communication were high, including significant understanding of uncertainty and appreciation for officials' openness about evolving information. Other factors that contributed to vaccination acceptance were quality of communication, closely following the news, and confidence in the vaccine because of a role model effect of the Obama daughters' immunizations; these factors significantly increased trust in government actions. Because the challenges of communication often vary over the course of a pandemic, there is a consistent need to pay close attention to both communication content and delivery and prepare public health officials at all levels to be effective communicators.",10.1089/bsp.2012.0048,"Exploring Communication, Trust in Government, and Vaccination Intention Later in the 2009 H1N1 Pandemic: Results of a National Survey"
23,University of Pittsburgh,Kevin H. Kim,treasurynz-bc13ae5f63cb982554314cd66475a593,http://app.overton.io/document.php?policy_document_id=treasurynz-bc13ae5f63cb982554314cd66475a593,He Kāhui Waiora: Living Standards Framework and He Ara Waiora COVID-19: Impacts on Wellbeing (DP 20/02),"The COVID‑19 pandemic is having major impacts on our lives in ways that go far beyond health, extending across all dimensions of wellbeing and all population groups.",2020-07-07,"['science and technology', 'education', 'labour', 'science and technology>social sciences', 'health', 'society', 'education>school']",New Zealand Treasury,"Distrust of the government often stands in the way of cooperation with public health recommendations in a crisis. The purpose of this article is to describe the public's trust in government recommendations during the early stages of the H1N1 pandemic and to identify factors that might account for these trust levels. The authors surveyed 1,543 respondents about their experiences and attitudes related to H1N1 influenza between June 3, 2009, and July 6, 2009, during the first wave of the pandemic using the Knowledge Networks online panel. This panel is representative of the U.S. population and uses a combination of random digit dialing and address-based probability sampling frames covering 99% of the U.S. household population to recruit participants. To ensure participation of low-income individuals and those without Internet access, Knowledge Networks provides hardware and access to the Internet if needed. Measures included standard demographics, a trust scale, trust ratings for individual spokespersons, involvement with H1N1, experience with H1N1, and past discrimination in health care. The authors found that trust of government was low (2.3 out of 4) and varied across demographic groups. Blacks and Hispanics reported higher trust in government than did Whites. Of the spokespersons included, personal health professionals received the highest trust ratings and religious leaders the lowest. Attitudinal and experience variables predicted trust better than demographic characteristics. Closely following the news about the flu virus, having some self-reported knowledge about H1N1, self-reporting of local cases, and previously experiencing discrimination were the significant attitudinal and experience predictors of trust. Using a second longitudinal survey, trust in the early stages of the pandemic predicted vaccine acceptance later but only for White, non-Hispanic individuals.",10.1080/10810730.2013.811323,Trust During the Early Stages of the 2009 H1N1 Pandemic
24,"University of Maryland, College Park",Sandra Crouse Quinn,treasurynz-bc13ae5f63cb982554314cd66475a593,http://app.overton.io/document.php?policy_document_id=treasurynz-bc13ae5f63cb982554314cd66475a593,He Kāhui Waiora: Living Standards Framework and He Ara Waiora COVID-19: Impacts on Wellbeing (DP 20/02),"The COVID‑19 pandemic is having major impacts on our lives in ways that go far beyond health, extending across all dimensions of wellbeing and all population groups.",2020-07-07,"['science and technology', 'education', 'labour', 'science and technology>social sciences', 'health', 'society', 'education>school']",New Zealand Treasury,"Distrust of the government often stands in the way of cooperation with public health recommendations in a crisis. The purpose of this article is to describe the public's trust in government recommendations during the early stages of the H1N1 pandemic and to identify factors that might account for these trust levels. The authors surveyed 1,543 respondents about their experiences and attitudes related to H1N1 influenza between June 3, 2009, and July 6, 2009, during the first wave of the pandemic using the Knowledge Networks online panel. This panel is representative of the U.S. population and uses a combination of random digit dialing and address-based probability sampling frames covering 99% of the U.S. household population to recruit participants. To ensure participation of low-income individuals and those without Internet access, Knowledge Networks provides hardware and access to the Internet if needed. Measures included standard demographics, a trust scale, trust ratings for individual spokespersons, involvement with H1N1, experience with H1N1, and past discrimination in health care. The authors found that trust of government was low (2.3 out of 4) and varied across demographic groups. Blacks and Hispanics reported higher trust in government than did Whites. Of the spokespersons included, personal health professionals received the highest trust ratings and religious leaders the lowest. Attitudinal and experience variables predicted trust better than demographic characteristics. Closely following the news about the flu virus, having some self-reported knowledge about H1N1, self-reporting of local cases, and previously experiencing discrimination were the significant attitudinal and experience predictors of trust. Using a second longitudinal survey, trust in the early stages of the pandemic predicted vaccine acceptance later but only for White, non-Hispanic individuals.",10.1080/10810730.2013.811323,Trust During the Early Stages of the 2009 H1N1 Pandemic
25,University of Georgia,Karen Hilyard,treasurynz-bc13ae5f63cb982554314cd66475a593,http://app.overton.io/document.php?policy_document_id=treasurynz-bc13ae5f63cb982554314cd66475a593,He Kāhui Waiora: Living Standards Framework and He Ara Waiora COVID-19: Impacts on Wellbeing (DP 20/02),"The COVID‑19 pandemic is having major impacts on our lives in ways that go far beyond health, extending across all dimensions of wellbeing and all population groups.",2020-07-07,"['science and technology', 'education', 'labour', 'science and technology>social sciences', 'health', 'society', 'education>school']",New Zealand Treasury,"Distrust of the government often stands in the way of cooperation with public health recommendations in a crisis. The purpose of this article is to describe the public's trust in government recommendations during the early stages of the H1N1 pandemic and to identify factors that might account for these trust levels. The authors surveyed 1,543 respondents about their experiences and attitudes related to H1N1 influenza between June 3, 2009, and July 6, 2009, during the first wave of the pandemic using the Knowledge Networks online panel. This panel is representative of the U.S. population and uses a combination of random digit dialing and address-based probability sampling frames covering 99% of the U.S. household population to recruit participants. To ensure participation of low-income individuals and those without Internet access, Knowledge Networks provides hardware and access to the Internet if needed. Measures included standard demographics, a trust scale, trust ratings for individual spokespersons, involvement with H1N1, experience with H1N1, and past discrimination in health care. The authors found that trust of government was low (2.3 out of 4) and varied across demographic groups. Blacks and Hispanics reported higher trust in government than did Whites. Of the spokespersons included, personal health professionals received the highest trust ratings and religious leaders the lowest. Attitudinal and experience variables predicted trust better than demographic characteristics. Closely following the news about the flu virus, having some self-reported knowledge about H1N1, self-reporting of local cases, and previously experiencing discrimination were the significant attitudinal and experience predictors of trust. Using a second longitudinal survey, trust in the early stages of the pandemic predicted vaccine acceptance later but only for White, non-Hispanic individuals.",10.1080/10810730.2013.811323,Trust During the Early Stages of the 2009 H1N1 Pandemic
26,University of Pittsburgh,Don Musa,treasurynz-bc13ae5f63cb982554314cd66475a593,http://app.overton.io/document.php?policy_document_id=treasurynz-bc13ae5f63cb982554314cd66475a593,He Kāhui Waiora: Living Standards Framework and He Ara Waiora COVID-19: Impacts on Wellbeing (DP 20/02),"The COVID‑19 pandemic is having major impacts on our lives in ways that go far beyond health, extending across all dimensions of wellbeing and all population groups.",2020-07-07,"['science and technology', 'education', 'labour', 'science and technology>social sciences', 'health', 'society', 'education>school']",New Zealand Treasury,"Distrust of the government often stands in the way of cooperation with public health recommendations in a crisis. The purpose of this article is to describe the public's trust in government recommendations during the early stages of the H1N1 pandemic and to identify factors that might account for these trust levels. The authors surveyed 1,543 respondents about their experiences and attitudes related to H1N1 influenza between June 3, 2009, and July 6, 2009, during the first wave of the pandemic using the Knowledge Networks online panel. This panel is representative of the U.S. population and uses a combination of random digit dialing and address-based probability sampling frames covering 99% of the U.S. household population to recruit participants. To ensure participation of low-income individuals and those without Internet access, Knowledge Networks provides hardware and access to the Internet if needed. Measures included standard demographics, a trust scale, trust ratings for individual spokespersons, involvement with H1N1, experience with H1N1, and past discrimination in health care. The authors found that trust of government was low (2.3 out of 4) and varied across demographic groups. Blacks and Hispanics reported higher trust in government than did Whites. Of the spokespersons included, personal health professionals received the highest trust ratings and religious leaders the lowest. Attitudinal and experience variables predicted trust better than demographic characteristics. Closely following the news about the flu virus, having some self-reported knowledge about H1N1, self-reporting of local cases, and previously experiencing discrimination were the significant attitudinal and experience predictors of trust. Using a second longitudinal survey, trust in the early stages of the pandemic predicted vaccine acceptance later but only for White, non-Hispanic individuals.",10.1080/10810730.2013.811323,Trust During the Early Stages of the 2009 H1N1 Pandemic
