"","from","to","sig"
"813","border","control",116.978431568481
"913","border","detain",110.889272808097
"1013","border","custom",104.275157004595
"1113","border","zealand",102.516819144599
"1213","border","australia",100.385093204677
"1313","border","worker",98.7104231091216
"1413","border","restriction",95.2227002978325
"1513","border","bill",94.8486172156408
"1613","border","air",87.4595927372575
"1713","border","arrive",85.0316983694211
"1813","border","maritime",84.4878094950691
"1913","border","public_health_response",80.3960702056065
"2013","border","country",80.0236156927422
"214","people","make",645.883215818554
"314","people","community",568.640244536102
"414","people","work",561.835532058962
"514","people","job",533.183070433326
"614","people","home",451.172569708899
"714","people","country",443.964822048321
"814","people","employ",441.469115496613
"914","people","lot",387.555064167827
"1014","people","pay",367.813220094889
"1114","people","zealand",363.180702423677
"1214","people","business",327.514018436894
"1314","people","lose",303.54205568973
"1414","people","income",286.567121189088
"1514","people","put",285.914094346575
"1614","people","thousand",284.596959212795
"1714","people","care",282.446108264849
"1814","people","ensure",279.551410232671
"1914","people","access",277.45913077984
"2014","people","group",277.130137986504
"215","impact","covid-19",393.026851632632
"315","impact","economy",176.233580444008
"415","impact","community",140.078220884316
"515","impact","negative",120.367574637756
"615","impact","significant",113.723197908141
"715","impact","climate_change",108.393411182798
"815","impact","family",106.241543726996
"915","impact","huge",101.146124329418
"1015","impact","business",91.7750360602513
"1115","impact","cushion",79.0248130233958
"1215","impact","decision",73.704096686095
"1315","impact","covid",73.1010178104043
"1415","impact","social",70.4306383412331
"1515","impact","term",70.233657787554
"1615","impact","live",69.8531421190128
"1715","impact","increase",67.3946040477604
"1815","impact","change",66.9029365656897
"1915","impact","extreme",66.5987033192068
"2015","impact","ability",64.1378199243918
"216","government's","policy",209.644141174853
"316","government's","commitment",177.036309783347
"416","government's","plan",128.224951002747
"516","government's","intention",123.975847271271
"616","government's","previous",120.98091545701
"716","government's","priority",120.525593158789
"816","government's","agenda",109.361111446284
"916","government's","budget",108.980376632884
"1016","government's","covid-19",107.021312960424
"1116","government's","economic",100.640030880459
"1216","government's","objective",83.3020811034366
"1316","government's","package",82.9717573467642
"1416","government's","programme",78.7565937424079
"1516","government's","wellbeing",71.1373648876324
"1616","government's","inclusive",66.5404217988253
"1716","government's","economy",65.1504051610827
"1816","government's","fiscal",63.9922524373978
"1916","government's","covid",63.2122471109033
"2016","government's","strategy",62.8495020419359
"217","zealand","economy",534.287399257533
"317","zealand","world",529.297916750424
"417","zealand","country",426.75870882161
"517","zealand","rural",392.927264056168
"617","zealand","behalf",376.718356163241
"717","zealand","transport_agency",375.706042543054
"817","zealand","party",372.69318961259
"917","zealand","air",365.401431570761
"1017","zealand","people",363.180702423677
"1117","zealand","act",361.903310062364
"1217","zealand","international",354.515636201017
"1317","zealand","labour",336.833514297381
"1417","zealand","overseas",325.083835673518
"1517","zealand","government",309.40152876731
"1617","zealand","business",292.246143164113
"1717","zealand","public",267.703326371498
"1817","zealand","green",266.524937017821
"1917","zealand","institute",264.624615852721
"2017","zealand","australia",247.058961023577
"218","job","create",1074.01627160888
"318","job","people",533.183070433326
"418","job","business",436.76793524716
"518","job","save",370.190047606826
"618","job","economy",338.403423193842
"718","job","good",334.736365708522
"818","job","zealander",279.525585178286
"918","job","growth",269.772143223323
"1018","job","thousand",237.388108273037
"1118","job","wage_subsidy",208.081978139468
"1218","job","livelihood",201.794452532195
"1318","job","creation",190.323462881148
"1418","job","fantastic",182.478730835952
"1518","job","income",177.909915938042
"1618","job","work",172.659724734724
"1718","job","government",145.194648364559
"1818","job","train",138.260033947416
"1918","job","tourism",130.096678008325
"2018","job","employment",129.151136523113
"219","economy","zealand",534.287399257533
"319","economy","job",338.403423193842
"419","economy","productive",304.85873422958
"519","economy","stimulate",302.633978632279
"619","economy","economic",280.667486178689
"719","economy","business",256.082162440754
"819","economy","government",229.279527708888
"919","economy","growth",228.704471710138
"1019","economy","strong",203.266162613407
"1119","economy","slow",185.733381909318
"1219","economy","sustainable",181.758715727367
"1319","economy","country",181.35320166219
"1419","economy","impact",176.233580444008
"1519","economy","world",173.79828809388
"1619","economy","rebuild",173.780652283691
"1719","economy","global",166.938093172386
"1819","economy","gdp",166.72700076364
"1919","economy","investment",163.618007435463
"2019","economy","covid-19",159.260688344948
"220","budget","billion",572.967111919075
"320","budget","million",497.704527279362
"420","budget","policy_statement",344.241639655083
"520","budget","deliver",305.228030629456
"620","budget","fund",304.613291032612
"720","budget","government",270.899340059608
"820","budget","year's",267.876620594412
"920","budget","spend",205.338967530988
"1020","budget","emission",190.090401624329
"1120","budget","investment",186.573783886619
"1220","budget","fiscal",178.982778547332
"1320","budget","year",167.171182503924
"1420","budget","economic",159.932121445425
"1520","budget","appropriation",159.340810955502
"1620","budget","money",135.627742893994
"1720","budget","finance",131.503619608469
"1820","budget","invest",126.340686654672
"1920","budget","recovery",123.796845374629
"2020","budget","urgency",113.142399907112
