"","from","to","sig"
"918","today","commitment",12.5123163102835
"1018","today","stand",12.3498525728355
"1118","today","day",11.4889651233243
"1218","today","police",11.3949644544482
"1318","today","feel",10.3156886380457
"1418","today","covid",9.92083702527452
"1518","today","begin",9.72951528988779
"1618","today","zealand",8.82176394168346
"1718","today","bring",8.74419727618806
"1818","today","opportunity",8.58433645144396
"1918","today","important",7.99290813501284
"2018","today","challenge",7.93605053317151
"219","maintain","public",18.2831157350302
"319","maintain","government",15.3608001313114
"419","maintain","social",15.1217207435257
"519","maintain","school",14.0139957391948
"619","maintain","focus",12.905838340419
"719","maintain","zealand",12.2941084141348
"819","maintain","core",10.7743940213404
"919","maintain","record",10.7743940213404
"1019","maintain","priority",10.5756470876659
"1119","maintain","work",10.213495128206
"1219","maintain","covid",9.86406297210488
"1319","maintain","importance",9.61965332097316
"1419","maintain","respond",9.40450701552618
"1519","maintain","invest",9.08582495851442
"1619","maintain","encourage",8.95433517050697
"1719","maintain","small",8.78130277059972
"1819","maintain","health",8.02800744741398
"1919","maintain","investment",7.54023197622155
"2019","maintain","transport",7.16160858262447
"220","stay","level",40.8193778792192
"320","stay","people",20.5266707346018
"420","stay","job",13.8997212672402
"520","stay","move",13.4387284054392
"620","stay","run",12.7804007976229
"720","stay","virus",12.6280516295956
"820","stay","break",12.4221916335518
"920","stay","alert",11.3402445390821
"1020","stay","contact",10.148060741878
"1120","stay","period",9.42909183145093
"1220","stay","covid",9.33539670950267
"1320","stay","important",9.11459778533026
"1420","stay","thing",9.03920792571444
"1520","stay","live",8.47777545079589
"1620","stay","essential",7.87211884267163
"1720","stay","lockdown",7.53449974746036
"1820","stay","ensure",6.78292946440342
"1920","stay","support",6.29826889255492
"2020","stay","stop",6.1050082968577
